Crop,Variety,Germination Period,Water Needs,Fertilization Needs,Sun Requirements,Common Pests,Growing Season,Companion Plants
Leek,American Flag,14-21 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Onion Maggots, Thrips","Spring, Fall","Carrots, Celery, Onions"
Leek,King Richard,14-21 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Onion Maggots, Thrips","Spring, Fall","Carrots, Celery, Onions"
Leek,Carentan,14-21 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Onion Maggots, Thrips","Spring, Fall","Carrots, Celery, Onions"
Parsnip,Hollow Crown,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Peas, Radishes, Onions"
Parsnip,Harris Model,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Peas, Radishes, Onions"
Parsnip,White Gem,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Peas, Radishes, Onions"
Turnip,Purple Top,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Aphids","Spring, Fall","Peas, Onions, Cabbage"
Turnip,Golden Globe,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Aphids","Spring, Fall","Peas, Onions, Cabbage"
Turnip,White Egg,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Aphids","Spring, Fall","Peas, Onions, Cabbage"
Collard Greens,Georgia Southern,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Loopers","Spring, Fall","Beans, Onions, Beets"
Collard Greens,Vates,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Loopers","Spring, Fall","Beans, Onions, Beets"
Collard Greens,Champion,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Loopers","Spring, Fall","Beans, Onions, Beets"
Mustard Greens,Southern Giant,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Fall","Beans, Onions, Garlic"
Mustard Greens,Red Giant,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Fall","Beans, Onions, Garlic"
Mustard Greens,Green Wave,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Fall","Beans, Onions, Garlic"
Parsley,Flat Leaf,14-28 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Summer, Fall","Tomatoes, Carrots, Asparagus"
Parsley,Curly Leaf,14-28 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Summer, Fall","Tomatoes, Carrots, Asparagus"
Parsley,Hamburg Rooted,14-28 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Summer, Fall","Tomatoes, Carrots, Asparagus"
Basil,Genovese,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Whiteflies",Summer,"Tomatoes, Peppers, Oregano"
Basil,Thai,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Whiteflies",Summer,"Tomatoes, Peppers, Oregano"
Basil,Lemon,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Whiteflies",Summer,"Tomatoes, Peppers, Oregano"
Cilantro,Santo,7-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Fall","Tomatoes, Peppers, Basil"
Cilantro,Leisure,7-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Fall","Tomatoes, Peppers, Basil"
Cilantro,Slow Bolt,7-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Fall","Tomatoes, Peppers, Basil"
Dill,Bouquet,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Lettuce, Onions"
Dill,Mammoth,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Lettuce, Onions"
Dill,Fernleaf,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Lettuce, Onions"
Thyme,English,14-28 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Spider Mites, Thrips","Spring, Summer","Cabbage, Tomatoes, Strawberries"
Thyme,Lemon,14-28 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Spider Mites, Thrips","Spring, Summer","Cabbage, Tomatoes, Strawberries"
Thyme,Creeping,14-28 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Spider Mites, Thrips","Spring, Summer","Cabbage, Tomatoes, Strawberries"
Oregano,Greek,10-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Tomatoes, Peppers, Basil"
Oregano,Italian,10-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Tomatoes, Peppers, Basil"
Oregano,Golden,10-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Tomatoes, Peppers, Basil"
Sage,Common,10-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Carrots, Rosemary"
Sage,Purple,10-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Carrots, Rosemary"
Sage,Tricolor,10-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Carrots, Rosemary"
Rosemary,Tuscan Blue,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Beans, Carrots, Sage"
Rosemary,Arp,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Beans, Carrots, Sage"
Rosemary,Blue Spire,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Beans, Carrots, Sage"
Chives,Common,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Thrips, Aphids","Spring, Summer, Fall","Carrots, Tomatoes, Roses"
Chives,Garlic,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Thrips, Aphids","Spring, Summer, Fall","Carrots, Tomatoes, Roses"
Chives,Siberian,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Thrips, Aphids","Spring, Summer, Fall","Carrots, Tomatoes, Roses"
Tarragon,French,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Eggplant, Peppers, Tomatoes"
Tarragon,Russian,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Eggplant, Peppers, Tomatoes"
Tarragon,Mexican,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Eggplant, Peppers, Tomatoes"
Marjoram,Sweet,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Spider Mites, Aphids","Spring, Summer","Beans, Onions, Carrots"
Marjoram,Knotted,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Spider Mites, Aphids","Spring, Summer","Beans, Onions, Carrots"
Marjoram,Pot,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Spider Mites, Aphids","Spring, Summer","Beans, Onions, Carrots"
Mint,Spearmint,10-15 days,High,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Carrots, Tomatoes"
Mint,Peppermint,10-15 days,High,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Carrots, Tomatoes"
Mint,Chocolate,10-15 days,High,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Carrots, Tomatoes"
Lemon Balm,Common,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Tomatoes, Peppers"
Lemon Balm,Lemonella,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Tomatoes, Peppers"
Lemon Balm,Quedlinburger,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Tomatoes, Peppers"
Stevia,Sweetleaf,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Tomatoes, Peppers, Basil"
Stevia,Sugarleaf,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Tomatoes, Peppers, Basil"
Stevia,Sweet Honey,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Tomatoes, Peppers, Basil"
Bay Leaf,Laurel,14-28 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Scale Insects","Spring, Summer","Rosemary, Thyme, Sage"
Bay Leaf,Sweet Bay,14-28 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Scale Insects","Spring, Summer","Rosemary, Thyme, Sage"
Bay Leaf,California Bay,14-28 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Scale Insects","Spring, Summer","Rosemary, Thyme, Sage"
Catnip,Common,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Basil, Oregano, Rosemary"
Catnip,Lemon,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Basil, Oregano, Rosemary"
Catnip,Catmint,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Basil, Oregano, Rosemary"
Lovage,Common,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Summer","Carrots, Celery, Parsnips"
Lovage,Mountain,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Summer","Carrots, Celery, Parsnips"
Lovage,Garden,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Summer","Carrots, Celery, Parsnips"
Sorrel,French,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Summer","Strawberries, Lettuce, Onions"
Sorrel,Red Veined,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Summer","Strawberries, Lettuce, Onions"
Sorrel,Common,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Summer","Strawberries, Lettuce, Onions"
Watercress,Aqua Large Leaf,5-7 days,High,Regular feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Whiteflies","Spring, Summer","Lettuce, Mint, Chives"
Watercress,Upland,5-7 days,High,Regular feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Whiteflies","Spring, Summer","Lettuce, Mint, Chives"
Watercress,Peppergrass,5-7 days,High,Regular feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Whiteflies","Spring, Summer","Lettuce, Mint, Chives"
Chamomile,German,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Thrips","Spring, Summer","Mint, Basil, Oregano"
Chamomile,Roman,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Thrips","Spring, Summer","Mint, Basil, Oregano"
Chamomile,Common,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Thrips","Spring, Summer","Mint, Basil, Oregano"
Peas,Sugar Snap,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Pea Weevils","Spring, Fall","Carrots, Radishes, Beans"
Peas,Snow,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Pea Weevils","Spring, Fall","Carrots, Radishes, Beans"
Peas,English,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Pea Weevils","Spring, Fall","Carrots, Radishes, Beans"
Radish,Cherry Belle,3-7 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Root Maggots, Flea Beetles","Spring, Fall","Carrots, Lettuce, Cucumbers"
Radish,French Breakfast,3-7 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Root Maggots, Flea Beetles","Spring, Fall","Carrots, Lettuce, Cucumbers"
Radish,Watermelon,3-7 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Root Maggots, Flea Beetles","Spring, Fall","Carrots, Lettuce, Cucumbers"
Swiss Chard,Bright Lights,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Fall","Beans, Onions, Lettuce"
Swiss Chard,Fordhook Giant,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Fall","Beans, Onions, Lettuce"
Swiss Chard,Rhubarb,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Fall","Beans, Onions, Lettuce"
Spinach,Bloomsdale,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Strawberries, Radishes, Peas"
Spinach,New Zealand,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Strawberries, Radishes, Peas"
Spinach,Baby's Leaf,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Strawberries, Radishes, Peas"
Kale,Lacinato,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Beets, Celery"
Kale,Red Russian,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Beets, Celery"
Kale,Curly,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Beets, Celery"
Broccoli,Calabrese,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Celery, Carrots"
Broccoli,Waltham,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Celery, Carrots"
Broccoli,Romanesco,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Celery, Carrots"
Cauliflower,Snowball,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Cauliflower,Purple of Sicily,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Cauliflower,Romanesco,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Brussels Sprouts,Long Island,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Brussels Sprouts,Catskill,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Brussels Sprouts,Jade Cross,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Cabbage,Golden Acre,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Celery, Carrots"
Cabbage,Red Acre,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Celery, Carrots"
Cabbage,Savoy,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Celery, Carrots"
Kohlrabi,Purple Vienna,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Beets, Lettuce"
Kohlrabi,White Vienna,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Beets, Lettuce"
Kohlrabi,Early Purple,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Beets, Lettuce"
Rutabaga,American Purple Top,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Peas, Beans, Carrots"
Rutabaga,Laurentian,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Peas, Beans, Carrots"
Rutabaga,Joan,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Peas, Beans, Carrots"
Collard Greens,Georgia Southern,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Collard Greens,Vates,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Collard Greens,Champion,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Eggplant,Black Beauty,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Summer","Peppers, Tomatoes, Basil"
Eggplant,Ichiban,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Summer","Peppers, Tomatoes, Basil"
Eggplant,Rosa Bianca,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Summer","Peppers, Tomatoes, Basil"
Tomatillo,Verde Puebla,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Tomato Hornworms","Spring, Summer","Peppers, Tomatoes, Basil"
Tomatillo,Purple,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Tomato Hornworms","Spring, Summer","Peppers, Tomatoes, Basil"
Tomatillo,Toma Verde,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Tomato Hornworms","Spring, Summer","Peppers, Tomatoes, Basil"
Leek,American Flag,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Celery, Onions"
Leek,King Richard,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Celery, Onions"
Leek,Giant Musselburgh,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Celery, Onions"
Okra,Clemson Spineless,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Summer","Peppers, Tomatoes, Basil"
Okra,Burgundy,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Summer","Peppers, Tomatoes, Basil"
Okra,Annie Oakley,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Summer","Peppers, Tomatoes, Basil"
Rhubarb,Victoria,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Rhubarb Curculio","Spring, Summer","Strawberries, Asparagus, Peas"
Rhubarb,Crimson Red,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Rhubarb Curculio","Spring, Summer","Strawberries, Asparagus, Peas"
Rhubarb,Canada Red,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Rhubarb Curculio","Spring, Summer","Strawberries, Asparagus, Peas"
Melon,Cantaloupe,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Corn, Sunflowers, Radishes"
Melon,Honeydew,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Corn, Sunflowers, Radishes"
Melon,Watermelon,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Corn, Sunflowers, Radishes"
Pumpkin,Jack-o'-Lantern,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles","Summer, Fall","Corn, Beans, Marigolds"
Pumpkin,Sugar Pie,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles","Summer, Fall","Corn, Beans, Marigolds"
Pumpkin,Atlantic Giant,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles","Summer, Fall","Corn, Beans, Marigolds"
Corn,Sweet Corn,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Corn Earworm, Aphids",Summer,"Beans, Squash, Cucumbers"
Corn,Popcorn,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Corn Earworm, Aphids",Summer,"Beans, Squash, Cucumbers"
Corn,Indian Corn,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Corn Earworm, Aphids",Summer,"Beans, Squash, Cucumbers"
Zucchini,Black Beauty,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles",Summer,"Corn, Beans, Marigolds"
Zucchini,Golden,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles",Summer,"Corn, Beans, Marigolds"
Zucchini,Cocozelle,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles",Summer,"Corn, Beans, Marigolds"
Cucumber,Marketmore 76,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Corn, Beans, Sunflowers"
Cucumber,Lemon,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Corn, Beans, Sunflowers"
Cucumber,Armenian,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Corn, Beans, Sunflowers"
Squash,Butternut,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Vine Borers","Summer, Fall","Corn, Beans, Marigolds"
Squash,Acorn,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Vine Borers","Summer, Fall","Corn, Beans, Marigolds"
Squash,Spaghetti,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Vine Borers","Summer, Fall","Corn, Beans, Marigolds"
Lettuce,Romaine,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Cucumbers"
Lettuce,Butterhead,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Cucumbers"
Lettuce,Iceberg,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Cucumbers"
Mustard Greens,Southern Giant Curled,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Fall","Beans, Onions, Cabbage"
Mustard Greens,Red Giant,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Fall","Beans, Onions, Cabbage"
Mustard Greens,Mizuna,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Flea Beetles","Spring, Fall","Beans, Onions, Cabbage"
Beets,Detroit Dark Red,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Leaf Miners, Aphids","Spring, Fall","Onions, Cabbage, Lettuce"
Beets,Golden,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Leaf Miners, Aphids","Spring, Fall","Onions, Cabbage, Lettuce"
Beets,Chioggia,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Leaf Miners, Aphids","Spring, Fall","Onions, Cabbage, Lettuce"
Carrots,Danvers,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Peas, Lettuce, Tomatoes"
Carrots,Nantes,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Peas, Lettuce, Tomatoes"
