Name,Variety,Type,Germination Period (Days),Water Needs,Fertilization Needs,Companions,Common Pests,Sun Requirements,Time to Plant (Relation to Frost Dates)
Marjoram,Golden,Herb,14-Oct,Moderate,"Minimal, compost","Tomato, Eggplant, Cabbage","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Broccoli,Calabrese,Vegetable,10-May,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,Di Cicco,Vegetable,10-May,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,Green Sprouting,Vegetable,10-May,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Cauliflower,Snowball,Vegetable,10-May,High,Balanced NPK fertilizer,"Bean, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Cauliflower,Early White,Vegetable,10-May,High,Balanced NPK fertilizer,"Bean, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Cauliflower,Purple Head,Vegetable,10-May,High,Balanced NPK fertilizer,"Bean, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Pumpkin,Sugar Pie,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Corn, Beans, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Pumpkin,Jack Be Little,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Corn, Beans, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Pumpkin,Big Max,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Corn, Beans, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Watermelon,Sugar Baby,Fruit,14-Jul,High,Balanced NPK fertilizer,"Corn, Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Watermelon,Crimson Sweet,Fruit,14-Jul,High,Balanced NPK fertilizer,"Corn, Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Watermelon,Moon and Stars,Fruit,14-Jul,High,Balanced NPK fertilizer,"Corn, Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Zucchini,Black Beauty,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Zucchini,Grey,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Zucchini,Cocozelle,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Bell Pepper,Golden California Wonder,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Bell Pepper,Purple Beauty,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Bell Pepper,Sweet Chocolate,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Carrot,Nantes,Vegetable,14-Oct,Moderate,Balanced NPK fertilizer,"Tomato, Radish, Chive","Carrot fly, Aphids",Full sun (6-8 hours),2-4 weeks before last frost
Carrot,Danvers,Vegetable,14-Oct,Moderate,Balanced NPK fertilizer,"Tomato, Radish, Chive","Carrot fly, Aphids",Full sun (6-8 hours),2-4 weeks before last frost
Carrot,Rainbow,Vegetable,14-Oct,Moderate,Balanced NPK fertilizer,"Tomato, Radish, Chive","Carrot fly, Aphids",Full sun (6-8 hours),2-4 weeks before last frost
Cabbage,Golden Acre,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Cabbage worms, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Cabbage,Red Express,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Cabbage worms, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Cabbage,Savoy,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Cabbage worms, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Chive,Common,Herb,14-Oct,Moderate,"Minimal, compost","Carrot, Tomato, Cabbage","Thrips, Aphids",Full sun to partial shade,2-4 weeks before last frost
Chive,Garlic,Herb,14-Oct,Moderate,"Minimal, compost","Carrot, Tomato, Cabbage","Thrips, Aphids",Full sun to partial shade,2-4 weeks before last frost
Chive,Siberian,Herb,14-Oct,Moderate,"Minimal, compost","Carrot, Tomato, Cabbage","Thrips, Aphids",Full sun to partial shade,2-4 weeks before last frost
Squash,Waltham Butternut,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Corn, Bean, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Squash,Yellow Crookneck,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Corn, Bean, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Squash,Patty Pan,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Corn, Bean, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Dill,Bouquet,Herb,14-Oct,Moderate,"Minimal, compost","Cabbage, Onion, Lettuce","Aphids, Armyworms",Full sun (6-8 hours),After last frost
Dill,Long Island Mammoth,Herb,14-Oct,Moderate,"Minimal, compost","Cabbage, Onion, Lettuce","Aphids, Armyworms",Full sun (6-8 hours),After last frost
Dill,Fernleaf,Herb,14-Oct,Moderate,"Minimal, compost","Cabbage, Onion, Lettuce","Aphids, Armyworms",Full sun (6-8 hours),After last frost
Cilantro,Slow Bolting,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Onion, Spinach","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Cilantro,Calypso,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Onion, Spinach","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Cilantro,Caribe,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Onion, Spinach","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Mint,Spearmint,Herb,14-Jul,High,"Minimal, compost","Cabbage, Tomato, Peas","Aphids, Spider mites",Partial shade to full sun,After last frost
Mint,Peppermint,Herb,14-Jul,High,"Minimal, compost","Cabbage, Tomato, Peas","Aphids, Spider mites",Partial shade to full sun,After last frost
Mint,Chocolate,Herb,14-Jul,High,"Minimal, compost","Cabbage, Tomato, Peas","Aphids, Spider mites",Partial shade to full sun,After last frost
Tomato,Roma,Fruit,10-May,High,Balanced NPK fertilizer,"Basil, Carrot, Onion","Aphids, Whiteflies",Full sun (6-8 hours),1-2 weeks after last frost
Tomato,Beefsteak,Fruit,10-May,High,Balanced NPK fertilizer,"Basil, Carrot, Onion","Aphids, Whiteflies",Full sun (6-8 hours),1-2 weeks after last frost
Tomato,Cherry,Fruit,10-May,High,Balanced NPK fertilizer,"Basil, Carrot, Onion","Aphids, Whiteflies",Full sun (6-8 hours),1-2 weeks after last frost
Lavender,English,Herb,14-21,Low,"Minimal, compost","Cabbage, Rose, Carrot","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Lavender,French,Herb,14-21,Low,"Minimal, compost","Cabbage, Rose, Carrot","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Lavender,Spanish,Herb,14-21,Low,"Minimal, compost","Cabbage, Rose, Carrot","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Oregano,Greek,Herb,14-Oct,Low,"Minimal, compost","Basil, Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Oregano,Italian,Herb,14-Oct,Low,"Minimal, compost","Basil, Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Oregano,Cuban,Herb,14-Oct,Low,"Minimal, compost","Basil, Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Peppers,Jalapeno,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Cayenne,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Habanero,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Melon,Cantaloupe,Fruit,14-Jul,High,Balanced NPK fertilizer,"Corn, Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Melon,Honeydew,Fruit,14-Jul,High,Balanced NPK fertilizer,"Corn, Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Melon,Galia,Fruit,14-Jul,High,Balanced NPK fertilizer,"Corn, Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Spinach,Bloomsdale,Vegetable,10-May,High,Balanced NPK fertilizer,"Carrot, Radish, Strawberries","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Spinach,New Zealand,Vegetable,10-May,High,Balanced NPK fertilizer,"Carrot, Radish, Strawberries","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Spinach,Tyee,Vegetable,10-May,High,Balanced NPK fertilizer,"Carrot, Radish, Strawberries","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Onion,Yellow Globe,Vegetable,14-Oct,High,Balanced NPK fertilizer,"Carrot, Lettuce, Tomato","Thrips, Onion maggots",Full sun (6-8 hours),4-6 weeks before last frost
Onion,Red Burgundy,Vegetable,14-Oct,High,Balanced NPK fertilizer,"Carrot, Lettuce, Tomato","Thrips, Onion maggots",Full sun (6-8 hours),4-6 weeks before last frost
Onion,White Lisbon,Vegetable,14-Oct,High,Balanced NPK fertilizer,"Carrot, Lettuce, Tomato","Thrips, Onion maggots",Full sun (6-8 hours),4-6 weeks before last frost
Radish,Cherry Belle,Vegetable,10-May,Moderate,"Minimal, compost","Carrot, Lettuce, Pea","Aphids, Flea beetles",Full sun (6-8 hours),2-4 weeks before last frost
Radish,French Breakfast,Vegetable,10-May,Moderate,"Minimal, compost","Carrot, Lettuce, Pea","Aphids, Flea beetles",Full sun (6-8 hours),2-4 weeks before last frost
Radish,Watermelon,Vegetable,10-May,Moderate,"Minimal, compost","Carrot, Lettuce, Pea","Aphids, Flea beetles",Full sun (6-8 hours),2-4 weeks before last frost
Beet,Detroit Dark Red,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Onion, Lettuce","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Beet,Golden,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Onion, Lettuce","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Beet,Chioggia,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Onion, Lettuce","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Mustard,Red Giant,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Radish, Carrot, Onion","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Mustard,Mizuna,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Radish, Carrot, Onion","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Mustard,Green Wave,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Radish, Carrot, Onion","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Broccoli,Calabrese,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Celery, Onion, Beet","Cabbage worms, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,De Cicco,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Celery, Onion, Beet","Cabbage worms, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,Waltham,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Celery, Onion, Beet","Cabbage worms, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Kale,Lacinato,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Cabbage worms, Aphids",Full sun to partial shade,4-6 weeks before last frost
Kale,Red Russian,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Cabbage worms, Aphids",Full sun to partial shade,4-6 weeks before last frost
Kale,Curly,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Beet, Onion, Potato","Cabbage worms, Aphids",Full sun to partial shade,4-6 weeks before last frost
Basil,Genovese,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Pepper, Oregano","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Thai,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Pepper, Oregano","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Lemon,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Pepper, Oregano","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Lettuce,Butterhead,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Lettuce,Romaine,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Lettuce,Leaf,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Parsley,Italian Flat Leaf,Herb,14-21,Moderate,"Minimal, compost","Tomato, Onion, Asparagus","Aphids, Spider mites",Full sun to partial shade,2-4 weeks before last frost
Parsley,Curled,Herb,14-21,Moderate,"Minimal, compost","Tomato, Onion, Asparagus","Aphids, Spider mites",Full sun to partial shade,2-4 weeks before last frost
Parsley,Hamburg Rooted,Herb,14-21,Moderate,"Minimal, compost","Tomato, Onion, Asparagus","Aphids, Spider mites",Full sun to partial shade,2-4 weeks before last frost
Thyme,Common,Herb,14-21,Low,"Minimal, compost","Cabbage, Strawberry, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Thyme,Lemon,Herb,14-21,Low,"Minimal, compost","Cabbage, Strawberry, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Thyme,Creeping,Herb,14-21,Low,"Minimal, compost","Cabbage, Strawberry, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Rosemary,Tuscan Blue,Herb,14-21,Low,"Minimal, compost","Carrot, Sage, Cabbage","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Rosemary,Prostratus,Herb,14-21,Low,"Minimal, compost","Carrot, Sage, Cabbage","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Rosemary,Arp,Herb,14-21,Low,"Minimal, compost","Carrot, Sage, Cabbage","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Peas,Sugar Snap,Vegetable,10-Jul,Moderate,"Minimal, compost","Carrot, Radish, Lettuce","Aphids, Pea weevil",Full sun (6-8 hours),4-6 weeks before last frost
Peas,Snow,Vegetable,10-Jul,Moderate,"Minimal, compost","Carrot, Radish, Lettuce","Aphids, Pea weevil",Full sun (6-8 hours),4-6 weeks before last frost
Peas,Garden,Vegetable,10-Jul,Moderate,"Minimal, compost","Carrot, Radish, Lettuce","Aphids, Pea weevil",Full sun (6-8 hours),4-6 weeks before last frost
Cucumber,Marketmore,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Bean, Radish, Sunflower","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Cucumber,Lemon,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Bean, Radish, Sunflower","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Cucumber,Armenian,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Bean, Radish, Sunflower","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Cucumber,Bush Champion,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Bean, Radish, Sunflower","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Cucumber,National Pickling,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Bean, Radish, Sunflower","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Cucumber,Straight Eight,Vegetable,10-Jul,High,Balanced NPK fertilizer,"Bean, Radish, Sunflower","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Sage,Common,Herb,14-21,Low,"Minimal, compost","Rosemary, Cabbage, Carrot","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Sage,Purple,Herb,14-21,Low,"Minimal, compost","Rosemary, Cabbage, Carrot","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Sage,Golden,Herb,14-21,Low,"Minimal, compost","Rosemary, Cabbage, Carrot","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Cilantro,Leisure,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Onion, Spinach","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Cilantro,Santo,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Onion, Spinach","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Cilantro,Delfino,Herb,10-Jul,Moderate,"Minimal, compost","Tomato, Onion, Spinach","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Pumpkin,Jack-O-Lantern,Fruit,10-Jul,High,Balanced NPK fertilizer,"Corn, Bean, Nasturtium","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Pumpkin,Sugar Pie,Fruit,10-Jul,High,Balanced NPK fertilizer,"Corn, Bean, Nasturtium","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Pumpkin,Big Max,Fruit,10-Jul,High,Balanced NPK fertilizer,"Corn, Bean, Nasturtium","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Eggplant,Black Beauty,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Tomato, Pepper","Aphids, Flea beetles",Full sun (6-8 hours),1-2 weeks after last frost
Eggplant,Ichiban,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Tomato, Pepper","Aphids, Flea beetles",Full sun (6-8 hours),1-2 weeks after last frost
Eggplant,Rosa Bianca,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Tomato, Pepper","Aphids, Flea beetles",Full sun (6-8 hours),1-2 weeks after last frost
Okra,Clemson Spineless,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Melon, Peppers","Aphids, Flea beetles",Full sun (6-8 hours),After last frost
Okra,Red Burgundy,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Melon, Peppers","Aphids, Flea beetles",Full sun (6-8 hours),After last frost
Okra,Hill Country Red,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Melon, Peppers","Aphids, Flea beetles",Full sun (6-8 hours),After last frost
Peppers,Bell,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Poblano,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Anaheim,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Serrano,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Ghost Pepper,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Thai Chili,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Pea,Sugar Snap,Vegetable,10-Jul,Moderate,"Minimal, compost","Carrot, Radish, Lettuce","Aphids, Pea weevil",Full sun (6-8 hours),4-6 weeks before last frost
Pea,Snow,Vegetable,10-Jul,Moderate,"Minimal, compost","Carrot, Radish, Lettuce","Aphids, Pea weevil",Full sun (6-8 hours),4-6 weeks before last frost
Pea,Garden,Vegetable,10-Jul,Moderate,"Minimal, compost","Carrot, Radish, Lettuce","Aphids, Pea weevil",Full sun (6-8 hours),4-6 weeks before last frost
Celery,Tall Utah,Vegetable,21-Oct,High,Balanced NPK fertilizer,"Leek, Onion, Spinach","Aphids, Carrot rust flies",Full sun to partial shade,8-10 weeks before last frost
Celery,Golden Self-Blanching,Vegetable,21-Oct,High,Balanced NPK fertilizer,"Leek, Onion, Spinach","Aphids, Carrot rust flies",Full sun to partial shade,8-10 weeks before last frost
Celery,Chinese Pink,Vegetable,21-Oct,High,Balanced NPK fertilizer,"Leek, Onion, Spinach","Aphids, Carrot rust flies",Full sun to partial shade,8-10 weeks before last frost
Turnip,Purple Top,Vegetable,10-May,Moderate,"Minimal, compost","Pea, Onion, Cabbage","Flea beetles, Aphids",Full sun (6-8 hours),2-4 weeks before last frost
Turnip,Golden Ball,Vegetable,10-May,Moderate,"Minimal, compost","Pea, Onion, Cabbage","Flea beetles, Aphids",Full sun (6-8 hours),2-4 weeks before last frost
Turnip,Tokyo Cross,Vegetable,10-May,Moderate,"Minimal, compost","Pea, Onion, Cabbage","Flea beetles, Aphids",Full sun (6-8 hours),2-4 weeks before last frost
Radish,Cherry Belle,Vegetable,10-Mar,Moderate,"Minimal, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Radish,French Breakfast,Vegetable,10-Mar,Moderate,"Minimal, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Radish,White Icicle,Vegetable,10-Mar,Moderate,"Minimal, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun (6-8 hours),4-6 weeks before last frost
Spinach,Bloomsdale,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Strawberry, Pea, Radish","Leaf miners, Aphids",Full sun to partial shade,4-6 weeks before last frost
Spinach,New Zealand,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Strawberry, Pea, Radish","Leaf miners, Aphids",Full sun to partial shade,4-6 weeks before last frost
Spinach,Savoy,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Strawberry, Pea, Radish","Leaf miners, Aphids",Full sun to partial shade,4-6 weeks before last frost
Mustard Greens,Southern Giant Curled,Vegetable,10-May,High,Balanced NPK fertilizer,"Pea, Onion, Cabbage","Aphids, Flea beetles",Full sun to partial shade,4-6 weeks before last frost
Mustard Greens,Red Giant,Vegetable,10-May,High,Balanced NPK fertilizer,"Pea, Onion, Cabbage","Aphids, Flea beetles",Full sun to partial shade,4-6 weeks before last frost
Mustard Greens,Mizuna,Vegetable,10-May,High,Balanced NPK fertilizer,"Pea, Onion, Cabbage","Aphids, Flea beetles",Full sun to partial shade,4-6 weeks before last frost
Endive,Broad Leaf Batavian,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Pea","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Endive,Frisee,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Pea","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Endive,Curled Ruffec,Vegetable,14-Jul,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Pea","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Bok Choy,Tatsoi,Vegetable,10-May,High,Balanced NPK fertilizer,"Pea, Onion, Cabbage","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Bok Choy,Joi Choi,Vegetable,10-May,High,Balanced NPK fertilizer,"Pea, Onion, Cabbage","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Bok Choy,Mei Qing Choi,Vegetable,10-May,High,Balanced NPK fertilizer,"Pea, Onion, Cabbage","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Arugula,Astro,Vegetable,10-May,Moderate,"Minimal, compost","Carrot, Onion, Radish","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Arugula,Wild Rocket,Vegetable,10-May,Moderate,"Minimal, compost","Carrot, Onion, Radish","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Arugula,Slow Bolt,Vegetable,10-May,Moderate,"Minimal, compost","Carrot, Onion, Radish","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Beet,Detroit Dark Red,Vegetable,10-May,Moderate,"Minimal, compost","Lettuce, Onion, Cabbage","Leaf miners, Aphids",Full sun to partial shade,2-4 weeks before last frost
Beet,Golden,Vegetable,10-May,Moderate,"Minimal, compost","Lettuce, Onion, Cabbage","Leaf miners, Aphids",Full sun to partial shade,2-4 weeks before last frost
Beet,Chioggia,Vegetable,10-May,Moderate,"Minimal, compost","Lettuce, Onion, Cabbage","Leaf miners, Aphids",Full sun to partial shade,2-4 weeks before last frost
Kohlrabi,Early Purple Vienna,Vegetable,10-May,Moderate,Balanced NPK fertilizer,"Onion, Lettuce, Cabbage","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kohlrabi,White Vienna,Vegetable,10-May,Moderate,Balanced NPK fertilizer,"Onion, Lettuce, Cabbage","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kohlrabi,Superschmeltz,Vegetable,10-May,Moderate,Balanced NPK fertilizer,"Onion, Lettuce, Cabbage","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Lettuce,Buttercrunch,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Lettuce,Romaine,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Lettuce,Iceberg,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Lettuce,Red Leaf,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Lettuce,Butterhead,Vegetable,14-Jul,High,Balanced NPK fertilizer,"Carrot, Radish, Onion","Aphids, Slugs",Full sun to partial shade,2-4 weeks before last frost
Kale,Curly,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Beet, Onion, Cabbage","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kale,Lacinato,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Beet, Onion, Cabbage","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kale,Red Russian,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Beet, Onion, Cabbage","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Broccoli,Calabrese,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Beet, Onion, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,Romanesco,Vegetable,10-Jul,Moderate,Balanced NPK fertilizer,"Beet, Onion, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
